video_id,community,video_bias,participation,betweenness,degree,bridge_score
0zxL-2wkslQ,0,Lean Left,0.5784218298021062,4.625556644939229e-05,13525,0.6350107353590781
1Ni8a2HZwhw,1,Lean Right,0.577465536657086,8.606869480835955e-05,8219,1.2315674741178138
7qAutFsvlhY,2,Left,0.5971370173635594,4.9603111308610176e-05,8237,0.8032256411093912
88_9O5iUSh8,0,Lean Left,0.6417854228379583,0.0004768168535730051,19292,7.549452521320455
HGH_Wvua5S8,0,Lean Left,0.47109472462963964,6.66009049425353e-05,13874,0.26880908237997364
O0SJ6wiIDHg,0,Lean Left,0.6614558530623258,0.00021241564135944193,16898,3.67134678205177
PzUGrErdDcw,0,Lean Left,0.5051816175106194,4.776224238526591e-06,7916,-0.4527937614159868
WOpRyJ5Obh0,0,Left,0.38676237270153846,1.2368969786759004e-05,3137,-1.0816731843174154
Y2QMqsNvWuc,0,Lean Left,0.6564331017532782,0.00031120557864962426,18219,5.134963474711866
_X41_45henY,3,Lean Left,0.6566041308151834,3.796807388150026e-07,1225,0.43175379251357404
azI1vJH--i4,0,Lean Left,0.6340187222274221,0.000636666861462372,17117,9.919965599299372
g-IbZJ4cyTI,0,Lean Left,0.5710111277085727,0.00024438981777025534,17779,3.587183737839051
i_mT0-2Y9-w,3,Lean Left,0.640937431140227,2.5994756324442415e-05,1739,0.721029616003125
jyoXG2IfgiM,1,Lean Right,0.53619802803218,9.173682536858116e-05,9651,1.0581512503551955
ktdi_L0rYkk,0,Lean Left,0.6380557946802567,0.00025232904815742583,18076,4.128451405523483
BwOpcIKPh2g,1,Lean Right,0.4143499428912961,7.10846529180815e-05,9129,-0.019745630263010017
E6Noq_jfSLk,1,Lean Right,0.2946028971376604,7.955842303363598e-05,6640,-0.6436308819603763
I3-9WijxD8s,1,Lean Right,0.37373032601872747,2.590031688824306e-05,6901,-0.9587337075161784
McswVrabB6s,1,Lean Right,0.467800320801126,1.5633589251593263e-05,4614,-0.5232626375030804
PbJrM0gnaO0,1,Right,0.4699252793784041,7.438298568261798e-06,1105,-0.6339497067020676
SOd1f1q3ihE,1,Lean Right,0.3563271764728728,7.727951229045016e-05,4670,-0.290430086808232
cLqKiuHJFLQ,1,Lean Right,0.5123697012133652,4.700195870008999e-05,9104,0.23143227727433024
cRaE5FIr-qg,1,Right,0.49859141003773033,0.0,398,-0.5664741458442446
fbM1CZ6hE9c,1,Right,0.37448906744790145,1.6257044548554553e-05,4303,-1.0999169128948012
h0LBTJEtYss,1,Lean Right,0.49560385182575384,3.2082564644752445e-05,10074,-0.09967626911780539
sBstJzDNt7U,2,Left,0.6458222484036386,8.244342512729213e-05,9699,1.6060498740818443
u6LV-wIVJgw,1,Right,0.6152690294076049,2.4185376253672856e-06,1079,0.2029847310284919
xIKmeWxhjzA,1,Lean Right,0.21103164567798893,8.567305296472467e-05,5717,-1.0760002190497464
0lxafFJLrqI,3,Center,0.11137010954298754,1.6189471742869083e-05,826,-2.753595868521009
EFbF5VBFmFw,3,Center,0.17381184770561597,2.4944249963194536e-05,1127,-2.2288961599001955
Nica1EKi2h8,3,Center,0.11210909067336194,6.849353404219346e-06,1291,-2.8903150174023966
TQD6LdaQE5k,3,Lean Left,0.11498512401779315,2.7664760099149127e-05,793,-2.5572138280881465
_AwgkRh6BQA,3,Center,0.08103533740018565,8.37378798134595e-06,835,-3.062417986451428
jF1rPiyiljY,3,Center,0.11237423919093248,1.1607654207111944e-05,971,-2.8166337418414837
zzpVNIRWtQs,3,Lean Left,0.06701865286205277,1.6556074433837236e-06,367,-3.2521353409199945
0xUPF2eVH5Y,0,Lean Left,0.6237292052090035,5.015160424615349e-05,10210,0.9785531116057731
8LWSl_yQeVQ,1,Lean Right,0.49004584200609946,9.223019595569403e-05,9636,0.7757353623005725
Bez6juWsNJY,0,Lean Left,0.5953143145982209,0.0001371614529897355,10172,2.11695409960822
E01nOVw4hpg,1,Lean Right,0.5816415175926892,7.681632731190282e-05,9069,1.1177642907969632
NqFR5TOiRfk,2,Left,0.6356447231773014,8.463092091088258e-06,9115,0.4224479819748867
TqK9bWZhwkA,2,Left,0.6832417461214422,0.0001782354238732426,15084,3.2908741509105597
YEpl-c78XBs,2,Left,0.7028435747349426,0.00018149937375955055,11210,3.4633928774475455
xQ8SKSg6lTs,2,Left,0.6173361056014179,2.0692583195659294e-05,7753,0.49254188115823194
-WRUh6FLduw,1,Lean Right,0.3646307520439953,4.122857971893484e-05,7497,-0.7838983410040389
2sshGWOO11c,3,Lean Left,0.36825053600513047,4.339177144537598e-05,780,-0.7284229471485337
GbGcGnTgtw8,3,Lean Left,0.5115057434889803,5.4994610355741826e-08,331,-0.4845265872301279
MFRWNj_fe4M,1,Lean Right,0.3040010393112871,2.444425199164771e-05,5300,-1.4187422016674351
O1hpn69GnXI,3,Lean Left,0.3825158842825608,7.055569401640129e-07,361,-1.2848687513753598
QyQCcgXkANo,1,Lean Right,0.5460717208647621,0.0002433138483897576,13573,3.414254179127137
a0jdIGtAypI,1,Lean Right,0.44871303858220457,0.0002536290470591632,10799,2.9588603857018363
lr1A9Ix3OCo,1,Lean Right,0.3941916569934718,0.00015089245565353364,9520,1.0615138467394223
uxpgcHn1aH4,3,Center,0.6677895459575267,9.804935684771817e-06,1905,0.6446588744313761
zsinHhNWl2I,3,Center,0.32328484653744693,0.00012048665345193378,4893,0.1559611759226176
1uZQs8mfHJQ,3,Center,0.6408966791613111,8.64591199063694e-06,2364,0.45820257922251495
2am_RkUZoVY,3,Center,0.7275933843889465,0.00018516822239825594,7359,3.6743742484589266
2xglDpABkCA,1,Lean Right,0.45722643465035995,9.104857546762638e-05,12576,0.5517123311937095
6VixqvOcK8E,3,Center,0.7467851162436042,0.0009748972704018978,19415,15.747299297388976
73yMi-jR5E4,2,Left,0.714621058291363,3.651508839298739e-05,16166,1.3430611715159964
HZmkv-5jnW0,1,Right,0.4883844027153258,5.1755074982604674e-05,4913,0.15271746806130954
INxGbTHybvc,0,Lean Left,0.6142930105577296,0.00021285989720678906,14198,3.3818395961478913
KHU0NtAnuWY,0,Lean Left,0.4510838263814242,0.00027395772968474944,13796,3.281421650700863
OPf7488_9Zk,3,Center,0.7133385400649257,7.490356792729285e-05,3357,1.9160071257512015
OmhiInYqlTU,0,Lean Left,0.6002952677556929,0.00019223335275276988,14729,2.9817410825816264
U8XJPwmX3jo,1,Lean Right,0.5284438449568898,0.00035226614282389925,12736,4.952502908910283
ZzqacpoHgm0,1,Right,0.414253582843477,1.1053086230159956e-05,1960,-0.9289158760900564
avfcQx3I6vY,1,Lean Right,0.3399621461318849,8.418127331462919e-06,4696,-1.4354216500806918
dD8CnkV9UzM,0,Lean Left,0.5477914282202072,0.0002928303231307842,11423,4.174477024571811
